,type,registration,operator,country,cat,new_date,new_fatalities
15024,Hawker Siddeley HS-748,9J-ADM,Zambia Airways,Zambia,A1,1983-07-04,0
15025,Antonov An-2T,CCCP-05667,"Aeroflot, Georgia",Georgia,A1,1983-07-04,0
15026,Tupolev Tu-134 ?,43-16019,Aeroflot,Russia,H2,1983-07-05,1
15027,Boeing 747,NZ5901,Iran Air,France,H2,1983-07-06,0
15028,Boeing 737,A67-6,Air Florida,Cuba,H2,1983-07-07,0
15029,Curtiss C-46A,N92853,Nenana Fuel Company,USA,A1,1983-07-10,0
15030,Boeing 737-2V2,HC-BIG,TAME Ecuador,Ecuador,A1,1983-07-11,119
15031,BN-2A Islander,P2-FHP,Cloudlands Aviation Dev.,P.N. Guinea,A1,1983-07-12,6
15032,Grumman G-159 Gulfstream I,N68TG,Orion Air,USA,A1,1983-07-16,0
15033,Boeing 727,UR-17915,Delta Air Lines,Cuba,H2,1983-07-17,0
15034,Douglas C-47A (DC-3),N480F,Chevron Oil,Sudan,A1,1983-07-19,0
15035,Lockheed L-1011 TriStar,JA8825,Eastern Air Lines,Cuba,H2,1983-07-19,0
15036,Antonov An-2R,CCCP-70520,"Aeroflot, Ukraine",Ukraine,A1,1983-07-20,0
15037,BN-2A Trislander Mk.III-2,N29929,Cen-Tex Airlines,USA,O1,1983-07-21,0
15038,Boeing 727,G-AFYE,Northwest Orient Airlines,USA,H2,1983-07-21,0
15039,BN-2A-9R Islander,N2718W,Eagle Airlines,USA,O1,1983-07-21,0
15040,Learjet 25D,5N-ASQ,Imani & Sons,Nigeria,A1,1983-07-22,0
15041,Boeing 767-233,C-GAUN,Air Canada,Canada,A2,1983-07-23,0
15042,Lockheed C-5A Galaxy,70-0446,USAF,USA,A2,1983-07-31,0
15043,Douglas DC-3C,N91378,Confederate Air Force,USA,O1,1983-07-01,6
15044,Boeing 727,YV-C-AVU,Pan Am,USA,H2,1983-08-02,0
15045,Boeing 747-121,N738PA,Pan Am,Pakistan,A1,1983-08-04,0
15046,DH-114 Riley Heron 2D,VH-CLY,Airlines of Tasmania,Australia,A1,1983-08-04,0
15047,Canadair CL-215,F-ZBBR,SecuritÃ© Civile,France,A1,1983-08-04,2
15048,DC-8-63CF,42-101136,Capitol Airways,Cuba,H2,1983-08-04,0
15049,BN-2A-21 Islander,PK-KNF,Bali Int. Air Service,Indonesia,A1,1983-08-05,2
15050,Antonov An-2TP,CCCP-91768,"Aeroflot, Komi",Russia,A1,1983-08-05,6
15051,Hawker Siddeley HS-748,FAC-1104,SATENA,Colombia,A1,1983-08-07,0
15052,Douglas AC-47,L2-30/07,Thai AF,Thailand,A1,1983-08-09,9
15053,Antonov An-2R,CCCP-07697,"Aeroflot, Ukraine",Ukraine,A1,1983-08-12,0
15054,Yakovlev Yak-40K,CCCP-87201,MAP Arsenyev APO,Russia,A1,1983-08-15,0
15055,Learjet 25B,N108PA,Northeast Jet,USA,A2,1983-08-17,0
15056,Beech A100 King Air,N129D,Padosa Productions,Puerto Rico,A1,1983-08-17,0
15057,Boeing 727,854,Delta Air Lines,Cuba,H2,1983-08-18,0
15058,Boeing 727-294,YK-AGA,Syrianair,Italy,O2,1983-08-19,0
15059,Lockheed 18 Learstar II,N116CA,"Landry Aviation, lsf Command Aviation",USA,A1,1983-08-21,11
15060,Fokker F-27 Friendship 100,VT-DOK,Indian Airlines,India,A2,1983-08-24,0
15061,Boeing 707-300,NC17383,MEA,Israel,H2,1983-08-26,0
15062,Lockheed L-100-30 Hercules,N17ST,Transamerica Airlines,Angola,A1,1983-08-27,7
15063,Swearingen SA226-TC Metro II,N503SS,Scheduled Skyways,USA,A1,1983-08-27,0
15064,Boeing 727-228,A67-6,Air France,Iran,H2,1983-08-27,0
15065,Beech 200 Super King Air,VH-KTE,Moore's Air Charter,Australia,A1,1983-08-28,12
15066,Tupolev Tu-134A,CCCP-65129,"Aeroflot, Privolzhsk",Kazakhstan,A1,1983-08-30,90
15067,Douglas DC-3A,N18143,Reo Leasing,Mexico,A1,1983-08-01,6
15068,Boeing 747-230B,HL7442,KAL,Pacific Ocean,C1,1983-09-01,269
15069,Boeing 727-264,XA-DAT,Mexicana,Mexico,H2,1983-09-01,0
15070,BN-2A-21 Islander,C-GIPF,Central Mountain Air Services,Canada,A1,1983-09-02,7
15071,Beech 99,F-BUYG,TAT,France,A1,1983-09-04,0
15072,Hawker Siddeley HS-121 Trident 2E,B-264,CAAC,China,A1,1983-09-14,11
15073,Antonov An-12,TF-ELH,Soviet AF,Afghanistan,C1,1983-09-16,6
15074,Boeing 727,XA-HEK,American Airlines,Cuba,H2,1983-09-22,0
15075,Boeing 737-2P6,A4O-BK,Gulf Air,U.A.E.,C1,1983-09-23,112
15076,FMA IA 50 GuaranÃ­ II,LV-LAD,DirecciÃ³n Provincial de AeronÃ¡utica de Salta,Argentina,A1,1983-09-23,0
15077,Boeing 707-336C,5N-ARO,RN Cargo,Ghana,C1,1983-09-25,0
15078,BN-2A-26 Islander,B-11109,Taiwan Airlines,Taiwan,A1,1983-09-28,10
