,type,registration,operator,country,cat,new_date,new_fatalities
16736,Antonov An-12,CCCP-29110,MAP Kiev MSZ,Ukraine,A1,1990-12-12,0
16737,Antonov An-24B,CCCP-47164,"Aeroflot, Far East",Russia,A1,1990-12-14,0
16738,Douglas DC-6B,CP-1953,Frigorifico Santa Rita,Bolivia,A1,1990-12-15,0
16739,Embraer EMB-110P1 Bandeirante,HK-3195X,AIRES Colombia,Colombia,C1,1990-12-15,0
16740,Cessna 208 Caravan I,N9444F,"MarkAir Express, opb Hermens Air",USA,A1,1990-12-21,1
16741,Tupolev Tu-154,XT-T51/121,Aeroflot,Russia,H2,1990-12-21,0
16742,BAe ATP,G-OATP,Manx Airlines,U.K.,A2,1990-12-23,0
16743,Ilyushin Il-86,YR-BMK,Aeroflot,Russia,H2,1990-12-24,0
16744,Boeing 737,OE-LFO,Air AlgÃ©rie,Algeria,H2,1990-12-28,0
16745,GAF Nomad N.24A,VH-BRP,Sydney Skydivers,Australia,A2,1990-12-31,0
16746,Cessna U-27A Caravan I,ARU-022,Liberian Army,Liberia,O1,1990-01-01,6
16747,CASA C-212 Aviocar 200,MP-112,Mexican Navy,Unknown country,U1,1990-01-01,6
16748,DHC-6 Twin Otter 300,HB-LQX,Zimex Aviation,Angola,U1,1990-01-01,6
16749,Antonov An-2T,822,East German AF,Germany,U1,1990-01-01,0
16750,Antonov An-2P,CCCP-07308,"Aeroflot, Krasnoyarsk",Russia,A1,1990-01-01,5
16751,Douglas DC-3,EC-EQH,Aeromarket,Spain,A1,1991-01-04,0
16752,DC-8,NC13715,Faucett PerÃº,Peru,H2,1991-01-07,1
16753,DHC-6 Twin Otter 200,C-GJLZ,Sabourin Lake Airways,Canada,A2,1991-01-10,0
16754,CASA C-212 Aviocar 200,ARV-0209,Venezuelan Navy,Venezuela,A1,1991-01-10,22
16755,Boeing 707-3K1C,YR-ABD,Romavia,Romania,A1,1991-01-10,0
16756,Learjet 25C,PT-KKV,Belair,Brazil,A1,1991-01-11,5
16757,Beech 200 Super King Air,N200MR,United Executive Jet,USA,A1,1991-01-11,0
16758,Tupolev Tu-134AK,VN-A126,Vietnam Airlines,Vietnam,A1,1991-01-12,0
16759,Dornier Do 28D-1 Skyservant,PK-VRA,Adikarto Printindo,Indonesia,A2,1991-01-12,0
16760,Swearingen SA226-TC Metro II,OY-BZW,Muk Air Taxi,Denmark,A1,1991-01-16,0
16761,Ilyushin Il-76MD,YI-ANH,Iraqi AF,Iraq,C1,1991-01-18,0
16762,Ilyushin Il-76MD,YI-ALU,Iraqi AF,Iraq,C1,1991-01-18,0
16763,Tupolev Tu-154,HK-502,Aeroflot,Bulgaria,H2,1991-01-21,0
16764,Antonov An-24V,YI-AEZ,Iraqi Airways,Iraq,C1,1991-01-29,0
16765,BAe 3101 Jetstream 31,N167PC,"USAir Express, opb CCAir",USA,A1,1991-01-30,0
16766,CASA/IPTN NC-212 Aviocar 200,PK-NCY,Merpati Nusantara,Indonesia,A1,1991-01-30,1
16767,Lockheed AC-130H Spectre,69-6567,USAF,Saudi Arabia,C1,1991-01-31,14
16768,Dassault Falcon 20F,May-02,Iran Army,Iran,U1,1991-01-31,6
16769,Boeing 737-3B7,N388US,USAir,USA,A1,1991-02-01,22
16770,Fairchild SA227-AC Metro III,N683AV,SkyWest Airlines,USA,A1,1991-02-01,12
16771,Antonov An-12,DG478,Air GuinÃ©e,Liberia,A1,1991-02-05,0
16772,Lockheed C-130H Hercules,748,Hellenic AF,Greece,A1,1991-02-05,63
16773,Boeing KC-135E,58-0013,USAF,Saudi Arabia,A2,1991-02-06,0
16774,BAe BAe-748-314 Srs. 2A,JW9010,Tanzanian AF,Tanzania,A1,1991-02-07,0
16775,Cessna 208B Grand Caravan,C-FPEZ,Provincial Express,Canada,A1,1991-02-08,1
16776,Beech 200 Super King Air,F-GHBE,Business Express,France,A1,1991-02-08,2
16777,Douglas C-118A (DC-6),HK-1702,Air Colombia,Colombia,A1,1991-02-10,0
16778,Boeing 737,SP-FDO,Southwest Airlines,USA,H2,1991-02-10,0
16779,Rockwell Sabreliner 60,XA-RNR,Travel Air,Mexico,A1,1991-02-11,11
16780,Learjet 35A,N535PC,Richmor Aviation,USA,A1,1991-02-13,3
16781,Tupolev Tu-134,N563MA,Aeroflot,Georgia,H2,1991-02-13,0
16782,Antonov An-2P,OB-1350,Aero Manu,Peru,A1,1991-02-14,0
16783,DHC-6 Twin Otter 300,FAE447,Ecuador Air Force,Ecuador,A1,1991-02-14,22
16784,Boeing 737-282 Adv.,CS-TEM,TAP,Portugal,A2,1991-02-14,0
16785,Airbus A300C4-620,9K-AHF,Kuwait Airways,Iraq,C1,1991-02-15,0
16786,Dassault Falcon 20F,May-01,Iran Army,Iran,U1,1991-02-15,6
16787,Airbus A300C4-620,9K-AHG,Kuwait Airways,Iraq,C1,1991-02-15,0
16788,DC-9-15RC,N565PC,Ryan Int. Airlines,USA,A1,1991-02-17,2
16789,Boeing 747-136,G-AWND,British Airways,Kuwait,C1,1991-02-18,0
16790,DHC-6 Twin Otter 300,HK-2758,ACES,Colombia,C1,1991-02-18,0
16791,DC-9-32CF,KAF320,Kuwait AF,Kuwait,C1,1991-02-18,0
16792,BAe-146-200A,CC-CET,LAN Chile,Chile,A1,1991-02-20,20
16793,Antonov An-26,A24-94,Angolan AF,Angola,C1,1991-02-22,47
16794,IAI 1123 Westwind,XA-POJ,Aerolineas Marcos,USA,A1,1991-02-23,0
16795,Embraer EMB-110C Bandeirante,CX-BJK/T-581,TAMU,Uruguay,A1,1991-02-25,0
16796,Lockheed L-100-30 Hercules,KAF322,Kuwait AF,Iraq,O1,1991-02-27,0
16797,Antonov An-12BP,YI-AFJ,Iraqi Airways,Iraq,C1,1991-02-27,0
16798,Learjet U-36A,9203,Japanese Navy,Japan,A1,1991-02-28,5
16799,Tupolev Tu-124V,YI-AEY,Iraqi Airways,Iraq,C1,1991-02-01,0
16800,BAe-125-700B,YI-AKH,Iraqi Government,Iraq,O1,1991-02-01,0
16801,Gulfstream Aerospace G-1159A Gulfstream III,YI-AKJ,Iraqi Government,Iraq,O1,1991-02-01,0
16802,Gulfstream Aerospace G-1159A Gulfstream III,YI-AKI,Iraqi Government,Iraq,O1,1991-02-01,0
16803,Tupolev Tu-124V,YI-AEL,Iraqi Airways,Iraq,O1,1991-02-01,0
16804,Boeing 767-269,9K-AIB,Kuwait Airways,Iraq,C1,1991-02-01,0
16805,Boeing 767-269,9K-AIC,Kuwait Airways,Iraq,C1,1991-02-01,0
16806,Boeing 737-291,N999UA,United Airlines,USA,A1,1991-03-03,25
16807,Rockwell CT-39G Sabreliner,160057,US Navy,USA,A1,1991-03-03,3
16808,Antonov An-24,TS-IEA,Aeroflot,Russia,H2,1991-03-04,1
16809,DC-9-32,YV-23C,LAV,Venezuela,A1,1991-03-05,45
16810,CASA C-212 Aviocar 100,TE.12B-42,Spanish AF,Spain,A1,1991-03-06,5
16811,Embraer EMB-110 Bandeirante,JA001T,TABA,Brazil,H2,1991-03-06,0
16812,Boeing 767-219ER,ZK-NBC,Air New Zealand,Fiji,A2,1991-03-09,0
16813,DC-8-62H-AF,N730PL,ATI,USA,A1,1991-03-12,0
16814,Yakovlev Yak-42,EX-68039,Aeroflot,Russia,H2,1991-03-14,0
16815,Learjet 35A,PT-LIH,LÃ­der TÃ¡xi AÃ©reo,Brazil,A1,1991-03-15,0
16816,Lockheed L-100-30 Hercules,CP-1564,"Transafrik, lsf TAB",Angola,C1,1991-03-16,9
16817,Hawker Siddeley HS-125-1A,N831LC,"Duncan Aircraft Sales, op.for Prestige Tours",USA,A1,1991-03-16,10
16818,Learjet 25D,PT-LLL,Air Conesul TÃ¡xi AÃ©reo,Brazil,A1,1991-03-18,4
16819,Ilyushin Il-86,51-7272,Aeroflot,Russia,C2,1991-03-18,0
16820,Lockheed C-130H Hercules,469,Saudi AF,Saudi Arabia,A1,1991-03-21,98
16821,Lockheed P-3C Orion,158930,US Navy,USA,A1,1991-03-21,14
16822,Lockheed P-3C Orion,159325,US Navy,USA,A1,1991-03-21,13
16823,Antonov An-24RV,CCCP-46472,"Aeroflot, Uzbekistan",Uzbekistan,A1,1991-03-23,34
16824,Fairchild FH-227B,F-GCPZ,TAT,France,O1,1991-03-23,0
16825,Sabreliner 40,XA-RPS,Servicios AÃ©reos de Los Angeles,Mexico,A1,1991-03-24,0
16826,Boeing 707-385C,ET-AJZ,Ethiopian Airlines,Eritrea,O1,1991-03-25,0
16827,HAL-748,H-1513,Indian AF,India,A1,1991-03-25,28
16828,Fokker F-27 Friendship 200,ST-AAA,Sudan Airways,Sudan,A1,1991-03-25,0
16829,IAI Arava 202,E-205,Ecuador Army,Ecuador,A1,1991-03-25,2
16830,Airbus A310-324,9V-STP,Singapore Airlines,Singapore,H2,1991-03-25,4
16831,Tupolev Tu-134,CCCP-L3495,Aeroflot,Russia,H2,1991-03-28,0
16832,DHC-6 Twin Otter 300,HB-LOM,"Zimex Aviation, op.for Red Cross",Angola,C2,1991-03-29,0
16833,Vickers 745D Viscount,HK-1708,Intercontinental de AviaciÃ³n,Colombia,A1,1991-03-31,0
16834,Boeing 737,43-15096,Air AlgÃ©rie,Algeria,H2,1991-03-31,0
16835,Douglas C-47B (DC-3),C-FQNF,Central Mountain Air Services,Canada,A1,1991-04-04,6
16836,Embraer EMB-120RT Brasilia,N270AS,"Delta Connection, opb ASA",USA,A1,1991-04-05,23
16837,Beech 99A,C-FHIE,Sabourin Lake Airways,Canada,O1,1991-04-08,0
16838,Dornier 228-212,F-OHAB,Air Tahiti,French Polynesia,A1,1991-04-18,10
16839,Lockheed P-3C Orion,A9-754,RAAF,Cocos Isl.,A1,1991-04-26,1
16840,Tupolev Tu-154,C-GAPK,Aeroflot,Russia,H2,1991-04-29,0
16841,Hawker Siddeley HS-748,C-GEPB,Calm Air International,Canada,A2,1991-04-30,0
16842,IAI 1124A Westwind II,N445BL,PGA Tour Inv.,USA,A1,1991-05-01,0
16843,Boeing 727-22QC,N425EX,Ryan Airlines,USA,A1,1991-05-03,0
16844,GAF Nomad N.22BFP,N5590M,Johnson Wax Company,USA,A1,1991-05-04,0
16845,Cessna 501 Citation I/SP,N41JP,Petrolift Aviation,USA,O2,1991-05-06,0
16846,Learjet 25B,N20DL,Petrolift Aviation,USA,O2,1991-05-06,0
16847,Hawker Siddeley BH-125-400A,N101AD,Franks Petroleum,USA,O1,1991-05-06,0
16848,DHC-3 Otter,C-FQRI,Harbour Air,Canada,A1,1991-05-08,0
16849,Fokker F-27 Friendship 600,PK-MFD,Merpati Nusantara,Indonesia,A1,1991-05-09,13
16850,Douglas R4D-7 (DC-3),N134FS,Four Star Air Cargo,Puerto Rico,A1,1991-05-10,2
16851,Curtiss C-46A,CP-1617,Transportes AÃ©reos El Dorado,Bolivia,A1,1991-05-14,0
16852,Douglas C-47B (DC-3),HK-3177,ADES Colombia,Colombia,A1,1991-05-15,13
16853,Antonov An-8,CCCP-13330,MAP Kom na Amu,Russia,A1,1991-05-16,2
16854,Cessna 550 Citation II,5N-AMR,Ashaka Cement Comp.,Nigeria,A1,1991-05-21,3
16855,Tupolev Tu-154B-1,CCCP-85097,"Aeroflot, Leningrad",Russia,A1,1991-05-23,13
16856,Ilyushin Il-76TD,LZ-INK,Metro Cargo,Iran,A1,1991-05-24,4
16857,Boeing 767-3Z9ER,OE-LAV,Lauda Air,Thailand,A1,1991-05-26,223
16858,DHC-3 Otter,C-FCDL,Cargair,Canada,A2,1991-05-27,1
16859,GAF Nomad N.24A,N8071L,Agape Flights,Bahamas,A1,1991-06-01,2
16860,Antonov An-2R,YU-BHS,Privredna Avijacija Osijek,Croatia,A1,1991-06-01,6
16861,Fokker F-27 Friendship 600,PK-JFF,Sempati Air,Indonesia,A1,1991-06-05,0
16862,Alenia G-222TCM,MM62129,Italian AF,Italy,U1,1991-06-05,6
16863,Douglas DC-3-201D,N102AP,Victoria Air S.A.,Dominican Rep.,A1,1991-06-07,0
16864,DHC-6 Twin Otter 300,9N-ABA,Royal Nepal Airlines,Nepal,A1,1991-06-09,0
16865,Lockheed C-130A Hercules,J6-SLQ,"Carib Air Transport, op.for Angola Air Charter",Angola,A1,1991-06-10,10
16866,Boeing 727-281,HL7350,Korean Air,South Korea,A1,1991-06-13,0
16867,Tupolev Tu-154,CCCP-86456,Aeroflot,Russia,H2,1991-06-13,0
16868,Antonov An-2R,CCCP-40988,Air Ukraine,Ukraine,A1,1991-06-13,1
16869,Rockwell 1121 Jet Commander,LV-RDB,Unknown,Argentina,U1,1991-06-15,6
16870,Grumman G-1159 Gulfstream II,N204RC,Castor Trading,Venezuela,A1,1991-06-17,4
16871,Grumman HU-16E Albatross,N7029C,Pacific Flying Fish,Pacific Ocean,A1,1991-06-18,0
16872,Canadair CL-215,C-GFQA,Gouvernement du QuÃ©bec,Canada,A1,1991-06-19,2
16873,Douglas DC-6BF,HK-3511X,Aerosucre Colombia,Colombia,A1,1991-06-20,2
16874,DHC-6 Twin Otter 300,9N-ABS,"UN Development Programme, opb Royal Nepal Airlines",Nepal,A1,1991-06-20,0
16875,AÃ©rospatiale SN.601 Corvette,YV-572CP,Hidrowell,Venezuela,A1,1991-06-21,0
16876,Antonov An-2R,CCCP-62627,Yugavia,Russia,A1,1991-06-22,3
16877,Antonov An-2P,CCCP-31423,"Aeroflot, Latvia",Kazakhstan,A1,1991-06-24,3
16878,BAC One-Eleven 402AP,5N-AOW,Okada Air,Nigeria,A1,1991-06-26,4
16879,Airbus A320-231,YU-AOE,Adria Airways,Slovenia,O2,1991-06-28,0
16880,Lockheed L-1011 TriStar 1,D-AERI,LTU,Germany,O1,1991-06-28,0
16881,Antonov An-2T,CCCP-62475,Krasnoyarsk Avia,Russia,A1,1991-06-30,2
16882,Learjet 25XR,N458J,New Creations,USA,A1,1991-07-01,0
16883,Learjet 23,N500FM,Connie Kalitta,USA,A1,1991-07-02,0
16884,DHC-6 Twin Otter 300,HK-2889X,Helicol Colombia,Colombia,A1,1991-07-04,3
16885,Boeing 707-323C,N8404,Southern Air Transport,USA,A2,1991-07-08,0
16886,CASA C-212 Aviocar 200,OB-1218,Aerochasqui,Peru,C1,1991-07-09,15
16887,Beech C99,N7217L,L'Express Airlines,USA,A1,1991-07-10,13
16888,DHC-6 Twin Otter 300,RAN-26,Nepal Army,Nepal,A1,1991-07-10,3
16889,DC-8-61,C-GMXQ,"Nationair, op.for Nigeria Airways",Saudi Arabia,A1,1991-07-11,261
16890,Antonov An-2TP,CCCP-01494,Tyumenaviatrans,Russia,A1,1991-07-15,1
16891,Learjet 23,N959SC,Jetstream,USA,A1,1991-07-22,3
16892,Fokker F-27 Friendship 400M,7T-VRM,Air AlgÃ©rie,Algeria,A1,1991-07-25,0
16893,BN-2A-6 Islander,YJ-RV4,Vanair,Vanuatu,A1,1991-07-25,9
16894,Canadair CL-215,I-CFSV,"State Forestry Corps (Italy), op.for SISAM",Italy,A1,1991-08-06,2
16895,BN-2A-27 Islander,DQ-FCN,"Fiji Air, op.for Avaiki Air",Cook Isl.,A1,1991-08-06,6
16896,Ilyushin Il-18V,YR-IMH,Tarom,Romania,A1,1991-08-13,9
16897,Hawker Siddeley HS-748,C-FKTL,Kelner Airways,Canada,O1,1991-08-14,0
16898,Fokker F-27 Friendship 100,J5-GBB,Air Bissau,Burkina Faso,A1,1991-08-15,3
16899,Antonov An-26,51,Soviet AF,Russia,A1,1991-08-15,9
16900,Boeing 737-2A8,VT-EFL,Indian Airlines,India,A1,1991-08-16,69
16901,Antonov An-12,F-OAFI,Soviet AF,Kazakhstan,A1,1991-08-17,19
16902,BN-2A-26 Islander,N68HA,Temsco Helicopters,USA,A1,1991-08-20,4
16903,Let L-410UVP,CCCP-67091,"Aeroflot, Far East",Russia,A1,1991-08-21,0
16904,Alenia G-222TCM,MM62128,Italian AF,Italy,A1,1991-08-22,4
16905,Boeing 767-2J6ER,B-2556,Air China,Sweden,A2,1991-08-23,0
16906,Let L-410UVP,CCCP-67099,"Aeroflot, Kazakstan",Kazakhstan,A1,1991-08-27,0
16907,BN-2A-21 Islander,559,Philippine AF,Philippines,A1,1991-08-28,10
16908,Boeing 707-323C,CP-1365,LAB,USA,O1,1991-08-31,0
16909,Lockheed L-100-20 Hercules,N521SJ,Southern Air Transport,South Sudan,A1,1991-09-02,0
16910,BN-2A-21 Islander,PK-VIP,Dirgantara Air Services,Indonesia,A1,1991-09-03,3
16911,Shorts SC.7 Skyvan 3-100,9M-AZB,Airtech Rajawaldi Udara,Malaysia,A1,1991-09-04,14
16912,Grumman American G-1159 Gulfstream II,N204C,"Du Pont de Numours and Co., op.for Conoco",Malaysia,A1,1991-09-04,12
16913,Cessna 208 Caravan I,NC25623,SATENA,Colombia,H2,1991-09-07,0
16914,GAF Nomad N.22,A18-303,Australian Army,Australia,A1,1991-09-09,4
16915,Fokker F-27 Friendship 400M,9Q-CBE,Scibe Airlift Cargo Zaire,Rwanda,C1,1991-09-10,0
16916,Embraer EMB-120RT Brasilia,N33701,"Continental Express, opb Britt Airways",USA,A1,1991-09-11,14
16917,HAL/Dornier 228-101,VT-EPV,United Breweries,India,A1,1991-09-13,0
16918,Tupolev Tu-154B-2,CU-T1227,Cubana,Mexico,A1,1991-09-14,0
16919,BAC One-Eleven 204AF,5N-KBG,Kabo Air,Nigeria,A1,1991-09-14,0
16920,Antonov An-2R,YU-BBN,Privredna Avijacija Osijek,Croatia,O1,1991-09-15,6
16921,Antonov An-2R,YU-BOZ,Privredna Avijacija Osijek,Croatia,C1,1991-09-15,6
16922,Handley Page HPR-7 Herald 401,HK-2701,LACOL Colombia,Colombia,A1,1991-09-16,7
16923,Lockheed L-100-30 Hercules,ET-AJL,Ethiopian Airlines,Djibouti,A1,1991-09-17,4
16924,Dornier 228-201,D-CDAL,Zimex Aviation,Somalia,C2,1991-09-17,0
16925,Antonov An-74,CCCP-74002,Antonov Design Bureau,Russia,A1,1991-09-17,13
16926,Convair CV-580,C-FICA,Canair Cargo,USA,A1,1991-09-18,2
16927,Dassault Falcon 20,OH-FFA,Euro-Flite,Estonia,A2,1991-09-18,0
16928,DC-9-82 (MD-82),I-DAWC,Alitalia,Tunisia,H2,1991-09-19,0
16929,Antonov An-2R,YU-BOC,Privredna Avijacija Osijek,Croatia,C1,1991-09-19,6
16930,Antonov An-2R,YU-BHU,Privredna Avijacija Osijek,Croatia,C1,1991-09-19,6
16931,Antonov An-2R,HA-MEV,Air Service Hungary,Indonesia,A1,1991-09-21,0
16932,Antonov An-12BP,CCCP-13320,Special Cargo Airlines,Russia,A1,1991-09-23,1
16933,Dassault Falcon 20C,I-NLAE,Groupair Srl,Germany,A1,1991-09-25,1
16934,Antonov An-26,TG-TAG,Soviet AF,Ukraine,A1,1991-09-26,1
16935,Antonov An-24,CCCP-46724,AKF Polet,Russia,A1,1991-09-26,10
16936,Let L-410UVP,CCCP-67538,"Aeroflot, Yakutsk",Russia,A1,1991-09-27,0
16937,DHC-6 Twin Otter 300,H4-SIA,Solomon Islands Airlines,Solomon Isl.,A1,1991-09-27,15
16938,Curtiss C-46A,HK-3238,CORAL Colombia,Colombia,A1,1991-09-29,1
16939,SE-210 Caravelle 11R,HK-3288X,Aerosucre Colombia,Colombia,A1,1991-09-29,0
16940,Boeing 747-246B,JA8161,JAL,Japan,A2,1991-10-02,0
16941,Antonov An-12BP,CCCP-11120,"Aeroflot, International",Angola,A1,1991-10-03,0
16942,Lockheed C-130H-30 Hercules,A-1324,Indonesian AF,Indonesia,A1,1991-10-05,135
16943,Swearingen SA227-AC Metro III,N120FA,"Northeast Express Regional Airlines, opf Northwest Airlink",USA,A2,1991-10-06,0
16944,Learjet 55C,N555MX,private,Germany,A2,1991-10-07,0
16945,Embraer EMB-110P1 Bandeirante,N731A,BAC Charter,Greenland,A1,1991-10-08,0
16946,Curtiss C-46D,HK-750,LANSA,Guatemala,A1,1991-10-11,6
16947,Morane Saulnier MS.760B Paris II,F-GKPP,private,France,O1,1991-10-15,0
16948,Let L-410UVP,CCCP-69314,Soviet AF,Russia,A1,1991-10-15,3
16949,DHC-6 Twin Otter,CCCP-70408,Ethiopian Airlines,Djibouti,H2,1991-10-16,0
16950,Lockheed P-3A Orion,N924AU,Aero Union,USA,A1,1991-10-16,2
16951,Tupolev Tu-134,C-FKTL,CSA,Czech Rep.,H2,1991-10-21,0
16952,Antonov An-28,CCCP-28924,"Aeroflot, East Siberia",Russia,A1,1991-10-23,0
16953,BN-2A Trislander Mk.III-2,PK-KTC,Bali Int. Air Service,Indonesia,A1,1991-10-25,17
16954,Boeing 707-368C,A20-103,RAAF,Pacific Ocean,A1,1991-10-29,5
16955,Lockheed CC-130E Hercules,130322,Canadian Armed Forces,Canada,A1,1991-10-30,5
16956,Douglas C-47A (DC-3),EC-FDH,Aeromarket,Spain,A1,1991-11-03,0
16957,Yakovlev Yak-40,CCCP-87526,Yugavia,Russia,A1,1991-11-07,51
16958,Antonov An-12B,CCCP-11129,Sigi Air Cargo,Sudan,A1,1991-11-08,0
16959,Antonov An-2,CCCP-79948,"Aeroflot, Yakutsk",Russia,O1,1991-11-08,0
16960,Tupolev Tu-154,C-FADD,Aeroflot,Russia,H2,1991-11-09,0
16961,Antonov An-2R,9A-BKB,Croatia AF,Croatia,A1,1991-11-09,6
16962,Boeing 727-25,YN-BXW,Aeronica,Nicaragua,O1,1991-11-10,0
16963,Embraer EMB-110P1 Bandeirante,PT-SCU,Nordeste Linhas AÃ©reas,Brazil,A1,1991-11-11,17
16964,Tupolev Tu-154,N868FE,Aeroflot,Russia,H2,1991-11-13,0
16965,Cessna 208B Super Cargomaster,N951FE,"FedEx, op.for Baron Aviation",USA,A1,1991-11-16,1
16966,Antonov An-12,N366AA,Soviet AF,Russia,A1,1991-11-16,20
16967,Boeing 737-2K6,EI-CBL,SAHSA,Costa Rica,A1,1991-11-17,0
16968,Convair CV-600,N94258,Kitty Hawk Aircargo,USA,A2,1991-11-20,0
16969,Beech B100 King Air,N24169,Ligon Brothers Manufacturing,USA,A1,1991-11-22,3
16970,Antonov An-2TP,CCCP-40596,"Aeroflot, Krasnoyarsk",Russia,A1,1991-11-22,0
16971,DHC-4A Caribou,A4-235,RAAF,Australia,A1,1991-11-23,0
16972,Antonov An-2R,CCCP-81545,"Aeroflot, Uzbekistan",Uzbekistan,A1,1991-11-23,2
16973,Douglas C-47B (DC-3),C9-STD,STASA,Mozambique,C1,1991-11-25,1
16974,Boeing 737-260,ET-AJB,Ethiopian Airlines,Djibouti,H2,1991-11-25,0
16975,unknown,4614,Unknown,P.N. Guinea,H2,1991-11-25,0
16976,Antonov An-24RV,CCCP-47823,Tatarstan,Russia,A1,1991-11-26,41
16977,Beech Beechjet 400A,I-ALSU,Aliserio,Italy,A1,1991-11-27,0
16978,Convair CV-240D (T-29),N450GA,Rhoades Int.,USA,A1,1991-11-28,0
16979,Hawker Siddeley HS-748,C-GGOO,Air Creebec,Canada,A1,1991-11-29,0
16980,Embraer C-95C Bandeirante (EMB-110P2),2333,Brazilian AF,Brazil,A1,1991-11-29,16
16981,Boeing 737-2H4 Adv.,N73SW,Southwest Airlines,USA,A2,1991-11-30,0
16982,Dassault Falcon 20E,309/F-UGWP,French AF,France,A1,1991-12-02,4
16983,Antonov An-2,9A-BOP,Croatia AF,Croatia,C1,1991-12-02,4
16984,Antonov An-2P,CCCP-07796,Yakutavia,Russia,A1,1991-12-02,0
16985,Boeing 707-351C,5A-DJT,Libyan Arab Airlines,Libya,A1,1991-12-07,0
16986,Antonov An-2,CCCP-33137,"Aeroflot, Yakutsk",Russia,A1,1991-12-08,6
16987,Beech Beechjet 400A,N25BR,Bruno's,USA,A1,1991-12-11,9
16988,Curtiss C-46F,HK-2716,L.A. Suramericanas,Colombia,A1,1991-12-11,8
16989,DH-114 Riley Heron 2B,DQ-FEE,Fiji Air,Fiji,A1,1991-12-15,0
16990,DC-9-32,I-RIBN,Alitalia,Poland,A1,1991-12-17,0
16991,Douglas DC-3A,D-CCCC,Classic Wings,Germany,A1,1991-12-22,28
16992,Learjet 25B,N44PA,Flight Management,USA,A1,1991-12-23,0
16993,Douglas C-47D,FAD-3406,Dominican Air Force,Dominican Rep.,A1,1991-12-25,2
16994,DC-9-81 (MD-81),OY-KHO,SAS,Sweden,A1,1991-12-27,0
16995,Douglas C-47B (DC-3),KK171,Hellenic AF,Greece,A1,1991-12-27,1
16996,Beech 1900C,N811BE,"Business Express, op.for Delta Connection",USA,A1,1991-12-28,3
16997,Boeing 747-2R7F,B-198,China Airlines,Taiwan,A1,1991-12-29,5
16998,Yakovlev Yak-40,CCCP-87521,"Aeroflot, Arkhangelsk",Russia,A1,1991-12-30,0
16999,Douglas C-54A (DC-4),9Q-CWP,GLM Aviation,D.R. Congo,A1,1991-01-01,0
17000,Dassault Falcon 20C,N425JA,Franks Petroleum,Unknown country,O1,1991-01-01,0
17001,Beech 200 Super King Air,VH-AAZ,Norfolk Island Airlines,Australia,U1,1991-01-01,0
17002,Antonov An-2R,CCCP-33449,"Aeroflot, Tyumen",Russia,A1,1991-01-01,0
17003,Yakovlev Yak-40,CCCP-87553,"Aeroflot, North Kavkaz",Russia,A1,1991-01-01,0
17004,Beech 1900C-1,N55000,"USAir Express, opb CommutAir",USA,A1,1992-01-03,2
17005,Antonov An-28,CCCP-28706,"Aeroflot, Tajikistan",Tajikistan,A1,1992-01-03,0
17006,Alenia G-222TCM,MM62116,Italian AF,Italy,A1,1992-01-08,4
17007,Boeing 737-2Y5,4R-ULL,Air Lanka,India,A2,1992-01-10,0
17008,BN-2A-26 Islander,P2-DWA,Heli Niugini,P.N. Guinea,A2,1992-01-11,6
17009,Beech C-12F Huron,85-1269,US Army,Brazil,A1,1992-01-11,0
17010,Douglas DC-6,N75257,Unknown,Mexico,A1,1992-01-14,6
17011,Boeing 767-38E,HL7264,Asiana Airlines,South Korea,A2,1992-01-16,0
17012,DC-9-31,N964VJ,USAir,USA,A1,1992-01-18,0
17013,Airbus A320-111,F-GGED,Air Inter,France,A1,1992-01-20,87
17014,DHC-6 Twin Otter 200,C-FHNM,Air Satellite,Canada,A1,1992-01-20,0
17015,Douglas VC-47A (DC-3),L2-41/18/210,Thai AF,Thailand,A1,1992-01-21,0
17016,Beech B99,N42AK,Nature Island Express,Dominica,A1,1992-01-23,2
17017,Grumman HU-16B Albatross,51-7202,Hellenic AF,Greece,A1,1992-01-23,3
17018,Tupolev Tu-134A,CCCP-65053,"Aeroflot, Georgia",Georgia,A1,1992-01-24,0
17019,Lockheed HC-130H7 Hercules,1706,US Coast Guard,USA,A2,1992-01-24,0
17020,Saab 340A,HB-AHO,Crossair,Germany,A2,1992-01-24,0
17021,Antonov An-2R,-,Croatia AF,Croatia,A1,1992-01-26,5
17022,Cessna 208B Grand Caravan,HP-1191XI,Aero Taxi Internacional,Colombia,H1,1992-01-31,0
17023,Lockheed L-1049H Super Constellation,HI-542CT,AMSA,Puerto Rico,O1,1992-02-03,0
17024,Embraer EMB-110C Bandeirante,PT-TBB,Nordeste Linhas AÃ©reas,Brazil,A1,1992-02-03,12
17025,Douglas C-54Q (DC-4),N74AF,West Indies Air Transport,Puerto Rico,A1,1992-02-03,0
17026,DHC-6 Twin Otter 300,N534MC,Ethiopian Airlines,Djibouti,H2,1992-02-05,0
17027,Lockheed C-130B Hercules,58-0732,USAF,USA,A1,1992-02-06,17
17028,Boeing 707-351B,AP-AZW,PIA,Pakistan,A1,1992-02-07,0
17029,Lockheed P-2H Neptune,N70600,Hawkins & Powers,USA,A1,1992-02-08,2
17030,Antonov An-24B,CCCP-46816,"Aeroflot, Kazakstan",Kazakhstan,A1,1992-02-09,0
17031,Convair CV-640,N862FW,Gambcrest,Senegal,A1,1992-02-09,30
